Index,Datetime,Close,Open,Low,High,Volume,ACD_Close_0,MACD_Close_12_26
1,2024-11-24 21:45:00,3326.2,3322.99,3311.42,3326.2,4163.3456,5056942.873,-15.49238938
2,2024-11-24 22:00:00,3318.48,3326.19,3318.48,3333.07,4558.229,5052384.644,-14.31572493
3,2024-11-24 22:15:00,3300.92,3318.48,3300.16,3319.65,3857.396,5048828.081,-14.63149238
4,2024-11-24 22:30:00,3310.09,3300.92,3298,3310.43,4707.2608,5053277.825,-13.98063791
5,2024-11-24 22:45:00,3305.65,3310.09,3303,3314.46,3184.8244,5051565.913,-13.66557372
6,2024-11-24 23:00:00,3309.61,3305.65,3305.64,3315.4,2317.5759,5051133.742,-12.94709808
7,2024-11-24 23:15:00,3315.81,3309.6,3307.07,3320.6,2848.5755,5051965.366,-11.74205765
8,2024-11-24 23:30:00,3322.16,3315.81,3315.66,3327.1,4772.1019,5052616.107,-10.15757232
9,2024-11-24 23:45:00,3329.1,3322.16,3320,3334.19,3350.8032,5053563.022,-8.246792397
10,2024-11-25 0:00:00,3326.59,3329.09,3325.31,3332.54,2210.1173,5052135.463,-6.855989977
11,2024-11-25 0:15:00,3310,3326.59,3309.99,3327.57,5473.9497,5046667.741,-7.011617825
12,2024-11-25 0:30:00,3317.6,3310,3309.99,3321.42,2415.0906,5047468.545,-6.447376193
13,2024-11-25 0:45:00,3322.85,3317.61,3317.47,3324.2,1439.6946,5048330.651,-5.513028746
14,2024-11-25 1:00:00,3326.63,3322.86,3321.51,3329.25,2179.6537,5049034.673,-4.416625148
15,2024-11-25 1:15:00,3333.32,3326.64,3321.51,3333.32,2876.477,5051911.15,-2.973612356
16,2024-11-25 1:30:00,3340.54,3333.32,3330.95,3341.01,4256.246,5055769.695,-1.233205042
17,2024-11-25 1:45:00,3338.41,3340.54,3334.4,3340.54,2561.141,5056553.888,-0.02549896963
18,2024-11-25 2:00:00,3341.59,3338.4,3334.67,3343.82,2657.3508,5057915.962,1.174675292
19,2024-11-25 2:15:00,3333.89,3341.59,3331.68,3343.84,2534.3126,5056302.839,1.487351135
20,2024-11-25 2:30:00,3336.85,3333.9,3333.9,3343.04,2191.722,5055525.904,1.951500571
21,2024-11-25 2:45:00,3339.57,3336.85,3333.1,3341.96,1737.6103,5056326.068,2.509891149
22,2024-11-25 3:00:00,3345.01,3339.58,3337.4,3346.73,1939.1013,5057550.217,3.35273401
23,2024-11-25 3:15:00,3353.91,3345.01,3344.28,3355.48,3908.3528,5060362.835,4.684844696
24,2024-11-25 3:30:00,3350.58,3353.9,3347.5,3363.38,4388.842,5057676.466,5.40949159
25,2024-11-25 3:45:00,3345.01,3350.58,3337.4,3351.88,3552.0448,5057857.993,5.471257771
26,2024-11-25 4:00:00,3358.83,3345.01,3340.52,3359.53,2612.7601,5060278.335,6.559749705
27,2024-11-25 4:15:00,3356.39,3358.83,3351.38,3365.89,6539.2398,5058254.821,7.143157918
28,2024-11-25 4:30:00,3365.2,3356.4,3353.14,3366.57,3980.8455,5061423.491,8.221632639
29,2024-11-25 4:45:00,3357.53,3365.19,3353.33,3372.22,5897.6785,5058148.391,8.361045795
30,2024-11-25 5:00:00,3361.2,3357.53,3352,3366.6,3853.7035,5059151.409,8.667753586
31,2024-11-25 5:15:00,3352.04,3361.21,3345,3365.68,6735.2631,5057001.857,8.078561644
32,2024-11-25 5:30:00,3355.45,3352.03,3348.15,3363.46,4168.818,5056808.529,7.796903436
33,2024-11-25 5:45:00,3345,3355.46,3334.99,3356.81,5540.2533,5056351.496,6.653759218
34,2024-11-25 6:00:00,3348.82,3345,3343.6,3360,3732.6624,5054994.992,5.987036434
